(55, 47)
(55, 48)
(56, 49)
(57, 50)
(58, 50)
(59, 50)
(59, 50)
(60, 51)
(60, 51)
(61, 51)
(61, 52)
(62, 52)
(63, 53)
(63, 54)
(63, 55)
(64, 55)
(65, 56)
(66, 56)
(67, 57)
(68, 58)
(69, 58)
(70, 59)
(71, 60)
(72, 60)
(72, 60)
(72, 60)
(73, 60)
(73, 61)
(73, 61)
(73, 62)
(74, 63)
(75, 64)
(75, 64)
(76, 65)
(77, 65)
(78, 66)
(79, 67)
(80, 68)
(81, 69)
(82, 69)
(82, 69)
(82, 69)
(82, 69)
(83, 69)
(84, 69)
(85, 69)
(85, 69)
(86, 70)
(86, 71)
(86, 71)
(86, 72)
(87, 72)
(88, 72)
(89, 73)
(89, 74)
(89, 75)
(89, 76)
(89, 76)
(89, 76)
(89, 77)
(89, 77)
(90, 77)
(91, 77)
(91, 77)
(91, 77)
(92, 78)
(93, 78)
(93, 78)
(93, 79)
(93, 80)
(94, 80)
(94, 80)
(94, 81)
(94, 81)
(95, 81)
(96, 82)
(96, 82)
(96, 83)
(97, 83)
(98, 83)
(99, 84)
(100, 84)
(101, 85)
(102, 86)
(102, 86)
(102, 87)
(103, 87)
(104, 87)
(104, 88)
(104, 89)
(105, 90)
(106, 91)
(107, 91)
(107, 92)
(107, 93)
(108, 94)
(109, 95)
(110, 95)
(111, 96)
(112, 97)
